"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"413","ASV413",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"414","ASV414",1,"root","no rank",1,"","","","","","",""
"415","ASV415",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"416","ASV416",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"417","ASV417",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"418","ASV418",274705,"Sebastinae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Sebastidae","",""
"419","ASV419",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"420","ASV420",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"421","ASV421",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"422","ASV422",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"423","ASV423",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"424","ASV424",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"425","ASV425",8022,"Oncorhynchus mykiss","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"426","ASV426",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"427","ASV427",8256,"Pleuronectidae","family",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","",""
"428","ASV428",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"429","ASV429",8033,"Salvelinus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus",""
"430","ASV430",1,"root","no rank",1,"","","","","","",""
"431","ASV431",8256,"Pleuronectidae","family",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","",""
"432","ASV432",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"433","ASV433",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"434","ASV434",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"435","ASV435",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"436","ASV436",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"437","ASV437",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"438","ASV438",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"439","ASV439",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"440","ASV440",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"441","ASV441",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"442","ASV442",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"443","ASV443",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"444","ASV444",8830,"Anatidae","family",1,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"445","ASV445",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"446","ASV446",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"447","ASV447",8095,"Myoxocephalus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus",""
"448","ASV448",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"449","ASV449",1,"root","no rank",1,"","","","","","",""
"450","ASV450",274705,"Sebastinae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Sebastidae","",""
"451","ASV451",1,"root","no rank",1,"","","","","","",""
"452","ASV452",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"453","ASV453",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"454","ASV454",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"455","ASV455",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"456","ASV456",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"457","ASV457",8033,"Salvelinus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus",""
"458","ASV458",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"459","ASV459",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"460","ASV460",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"461","ASV461",8095,"Myoxocephalus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus",""
"462","ASV462",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"463","ASV463",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"464","ASV464",8256,"Pleuronectidae","family",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","",""
"465","ASV465",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"466","ASV466",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"467","ASV467",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"468","ASV468",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"469","ASV469",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"470","ASV470",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"471","ASV471",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"472","ASV472",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"473","ASV473",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"474","ASV474",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"475","ASV475",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"476","ASV476",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"477","ASV477",1,"root","no rank",1,"","","","","","",""
"478","ASV478",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"479","ASV479",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"480","ASV480",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"481","ASV481",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"482","ASV482",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"483","ASV483",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"484","ASV484",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"485","ASV485",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"486","ASV486",8256,"Pleuronectidae","family",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","",""
"487","ASV487",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"488","ASV488",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"489","ASV489",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"490","ASV490",238837,"Hemilepidotus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Hemilepidotus",""
"491","ASV491",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"492","ASV492",980329,"Gymnocanthus tricuspis","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Gymnocanthus","Gymnocanthus tricuspis"
"493","ASV493",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"494","ASV494",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"495","ASV495",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"496","ASV496",9823,"Sus scrofa","species",NA,"Metazoa","Chordata","Mammalia","","Suidae","Sus","Sus scrofa"
"497","ASV497",1,"root","no rank",1,"","","","","","",""
"498","ASV498",8095,"Myoxocephalus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus",""
"499","ASV499",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"500","ASV500",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"501","ASV501",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"502","ASV502",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"503","ASV503",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"504","ASV504",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"505","ASV505",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"506","ASV506",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"507","ASV507",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"508","ASV508",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"509","ASV509",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"510","ASV510",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"511","ASV511",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"512","ASV512",8095,"Myoxocephalus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus",""
"513","ASV513",8192,"Zoarcales","infraorder",NA,"Metazoa","Chordata","Actinopteri","Perciformes","","",""
"514","ASV514",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"515","ASV515",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"516","ASV516",1,"root","no rank",1,"","","","","","",""
"517","ASV517",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"518","ASV518",8256,"Pleuronectidae","family",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","",""
"519","ASV519",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"520","ASV520",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"521","ASV521",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"522","ASV522",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"523","ASV523",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"524","ASV524",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"525","ASV525",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"526","ASV526",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"527","ASV527",30892,"Stichaeidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Stichaeidae","",""
"528","ASV528",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"529","ASV529",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"530","ASV530",9913,"Bos taurus","species",NA,"Metazoa","Chordata","Mammalia","","Bovidae","Bos","Bos taurus"
"531","ASV531",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"532","ASV532",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"533","ASV533",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"534","ASV534",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"535","ASV535",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"536","ASV536",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"537","ASV537",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"538","ASV538",8045,"Gadidae","family",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","",""
"539","ASV539",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"540","ASV540",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"541","ASV541",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"542","ASV542",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"543","ASV543",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"544","ASV544",8045,"Gadidae","family",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","",""
"545","ASV545",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"546","ASV546",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"547","ASV547",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"548","ASV548",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"549","ASV549",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"550","ASV550",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"551","ASV551",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"552","ASV552",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"553","ASV553",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"554","ASV554",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"555","ASV555",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"556","ASV556",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"557","ASV557",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"558","ASV558",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"559","ASV559",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"560","ASV560",8192,"Zoarcales","infraorder",NA,"Metazoa","Chordata","Actinopteri","Perciformes","","",""
"561","ASV561",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"562","ASV562",30892,"Stichaeidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Stichaeidae","",""
"563","ASV563",8256,"Pleuronectidae","family",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","",""
"564","ASV564",8045,"Gadidae","family",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","",""
"565","ASV565",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"566","ASV566",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"567","ASV567",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"568","ASV568",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"569","ASV569",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"570","ASV570",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"571","ASV571",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"572","ASV572",8095,"Myoxocephalus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus",""
"573","ASV573",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"574","ASV574",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"575","ASV575",8256,"Pleuronectidae","family",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","",""
"576","ASV576",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"577","ASV577",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"578","ASV578",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"579","ASV579",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"580","ASV580",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"581","ASV581",182230,"Osmerinae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Osmeriformes","Osmeridae","",""
"582","ASV582",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"583","ASV583",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"584","ASV584",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"585","ASV585",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"586","ASV586",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"587","ASV587",433401,"Liparis fucensis","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","Liparis fucensis"
"588","ASV588",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"589","ASV589",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"590","ASV590",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"591","ASV591",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"592","ASV592",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"593","ASV593",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"594","ASV594",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"595","ASV595",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"596","ASV596",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"597","ASV597",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"598","ASV598",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"599","ASV599",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"600","ASV600",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"601","ASV601",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"602","ASV602",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"603","ASV603",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"604","ASV604",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"605","ASV605",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"606","ASV606",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"607","ASV607",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"608","ASV608",8092,"Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"609","ASV609",1,"root","no rank",1,"","","","","","",""
"610","ASV610",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"611","ASV611",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"612","ASV612",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"613","ASV613",1,"root","no rank",1,"","","","","","",""
"614","ASV614",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"615","ASV615",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"616","ASV616",8095,"Myoxocephalus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus",""
"617","ASV617",8256,"Pleuronectidae","family",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","",""
"618","ASV618",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"619","ASV619",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"620","ASV620",8256,"Pleuronectidae","family",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","",""
"621","ASV621",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"622","ASV622",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"623","ASV623",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"624","ASV624",8033,"Salvelinus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus",""
"625","ASV625",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"626","ASV626",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"627","ASV627",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"628","ASV628",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"629","ASV629",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"630","ASV630",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"631","ASV631",1,"root","no rank",1,"","","","","","",""
"632","ASV632",8033,"Salvelinus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus",""
"633","ASV633",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"634","ASV634",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"635","ASV635",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"636","ASV636",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"637","ASV637",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"638","ASV638",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"639","ASV639",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"640","ASV640",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"641","ASV641",1,"root","no rank",1,"","","","","","",""
"642","ASV642",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"643","ASV643",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"644","ASV644",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"645","ASV645",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"646","ASV646",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"647","ASV647",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"648","ASV648",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"649","ASV649",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"650","ASV650",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"651","ASV651",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"652","ASV652",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"653","ASV653",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"654","ASV654",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"655","ASV655",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"656","ASV656",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"657","ASV657",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"658","ASV658",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"659","ASV659",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"660","ASV660",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"661","ASV661",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"662","ASV662",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"663","ASV663",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"664","ASV664",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"665","ASV665",8256,"Pleuronectidae","family",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","",""
"666","ASV666",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"667","ASV667",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"668","ASV668",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"669","ASV669",8033,"Salvelinus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus",""
"670","ASV670",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"671","ASV671",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"672","ASV672",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
